episode	epsilon	score	bonus	straight	full	low	high	yum
1910000	1	56.8	0.33	0.0	0.0	0.0	0.0	0.0
1915000	1	53.75	0.16	0.0	0.0	0.0	0.0	0.0
1920000	1	54.89	0.19	0.0	0.0	0.0	0.0	0.0
1925000	1	56.41	0.25	0.0	0.0	0.0	0.0	0.0
1930000	1	54.06	0.21	0.0	0.0	0.0	0.0	0.0
1935000	1	54.65	0.27	0.0	0.0	0.0	0.0	0.0
1940000	1	53.94	0.18	0.0	0.0	0.0	0.0	0.0
1945000	1	55.29	0.27	0.0	0.0	0.0	0.0	0.0
1950000	1	54.8	0.25	0.0	0.0	0.0	0.0	0.0
1955000	1	55.94	0.26	0.0	0.0	0.0	0.0	0.0
1960000	1	56.35	0.25	0.0	0.0	0.0	0.0	0.0
1965000	1	56.26	0.28	0.0	0.0	0.0	0.0	0.0
1970000	1	54.86	0.26	0.0	0.0	0.0	0.0	0.0
1975000	1	54.14	0.22	0.0	0.0	0.0	0.0	0.0
1980000	1	56.06	0.28	0.0	0.0	0.0	0.0	0.0
1985000	1	54.41	0.29	0.0	0.0	0.0	0.0	0.0
1990000	1	56.14	0.28	0.0	0.0	0.0	0.0	0.0
1995000	1	54.36	0.25	0.0	0.0	0.0	0.0	0.0
2000000	1	55.36	0.23	0.0	0.0	0.0	0.0	0.0
2005000	1	56.2	0.3	0.0	0.0	0.0	0.0	0.0
2010000	1	55.47	0.26	0.0	0.0	0.0	0.0	0.0
2015000	1	56.24	0.29	0.0	0.0	0.0	0.0	0.0
2020000	1	56.8	0.35	0.0	0.0	0.0	0.0	0.0
2025000	1	54.44	0.29	0.0	0.0	0.0	0.0	0.0
2030000	1	55.5	0.21	0.0	0.0	0.0	0.0	0.0
2035000	1	55.93	0.26	0.0	0.0	0.0	0.0	0.0
2040000	1	55.82	0.27	0.0	0.0	0.0	0.0	0.0
2045000	1	56.89	0.29	0.0	0.0	0.0	0.0	0.0
2050000	1	55.56	0.18	0.0	0.0	0.0	0.0	0.0
2055000	1	56.86	0.31	0.0	0.0	0.0	0.0	0.0
2060000	1	55.07	0.29	0.0	0.0	0.0	0.0	0.0
2065000	1	53.52	0.24	0.0	0.0	0.0	0.0	0.0
